date,dist,co,no2,o3,so2,ch4,hcho
2018-11-27,q1,0.03604912757873535,0,0.11065001785755157,0.0002062850835500285,0,0.00019064774096477777
2018-11-28,q1,0.03569168597459793,0,0.10894637554883957,0,0,0
2018-11-29,q1,0.03407492861151695,6.644606764893979e-05,0.10895241051912308,0.00012366619193926454,0,0.00024645953089930117
2018-11-30,q1,0.04217042773962021,7.127040589693934e-05,0.1090058907866478,0,0,0.00020229867368470877
2018-12-01,q1,0.03265926614403725,6.218985799932852e-05,0.10991962254047394,0.0003069305093958974,0,0.00013566725829150528
2018-12-02,q1,0.03198721259832382,0,0.10860111564397812,0,0,0.00016848408267833292
2018-12-03,q1,0,0,0.1099180355668068,0,0,0.0002864009002223611
2018-12-04,q1,0.03150966390967369,9.056072303792462e-05,0.11052681505680084,8.098920807242393e-05,0,0.00017663290782365948
2018-12-05,q1,0.03401242196559906,0.00010469806875335053,0.10887602716684341,0,0,0.0002225869829999283
2018-12-06,q1,0,0,0.1060308888554573,0,0,0.00020334767759777606
2018-12-07,q1,0,0,0.10798928886651993,0,0,0
2018-12-08,q1,0,0,0.10729055106639862,0,0,0.00014593309606425464
2018-12-09,q1,0.030064228922128677,6.027381823514588e-05,0.106038399040699,0,0,0.00011588236520765349
2018-12-10,q1,0.027184538543224335,0,0.10669951885938644,0,0,0.00012256660556886345
2018-12-11,q1,0,0,0,0,0,0
2018-12-12,q1,0,0.0001295774127356708,0.11039989441633224,0.0004091363225597888,0,0.0005267928936518729
2018-12-13,q1,0,0,0.11209602653980255,0,0,0
2018-12-14,q1,0,0,0.11004652827978134,0,0,0
2018-12-15,q1,0.03512721136212349,0,0.10862315446138382,0,0,0
2018-12-16,q1,0.03000902384519577,6.412274524336681e-05,0.10501174628734589,0.0003880645672325045,0,0.00024016396491788328
2018-12-17,q1,0.045235197991132736,0,0.10596900433301926,3.1034782296046615e-05,0,0.0002643270418047905
2018-12-18,q1,0,0,0.10835423320531845,0.0005176047561690211,0,0.0003770222538150847
2018-12-19,q1,0.04831130802631378,0,0.11101676523685455,0,0,0.00029519855161197484
2018-12-20,q1,0.04380363970994949,0,0.10995301604270935,6.876062980154529e-05,0,0
2018-12-21,q1,0.051813602447509766,0,0.11128926277160645,0,0,0.0003270144516136497
2018-12-22,q1,0.04027910903096199,0,0.10405641049146652,0,0,0.0002908595488406718
2018-12-23,q1,0,0,0.10590431094169617,0,0,0.00028396572452038527
2018-12-24,q1,0.031659916043281555,0,0.10639829188585281,0,0,0
2018-12-25,q1,0,0,0.10612842440605164,0,0,0.00035349742393009365
2018-12-26,q1,0,0,0.10469796508550644,0,0,0
2018-12-27,q1,0.03656414523720741,0,0.10265962034463882,0,0,0
2018-12-28,q1,0,0,0.10271189361810684,0,0,0
2018-12-29,q1,0,0,0.10307075828313828,0,0,0.00014109344920143485
2018-12-30,q1,0.041514329612255096,0,0.10259400308132172,0,0,0
2018-12-31,q1,0,0,0.1040436401963234,0.0002516462991479784,0,0.0002508589532226324
2019-01-01,q1,0,0,0.10684261471033096,0,0,0
2019-01-02,q1,0,0,0.10511773079633713,0,0,0
2019-01-03,q1,0,0,0.10421539843082428,0,0,0
2019-01-04,q1,0.03699300438165665,0,0.10467264801263809,0,0,1.2434992640919518e-05
2019-01-05,q1,0.03466668725013733,5.5879438150441274e-05,0.10623824596405029,0.0003801523707807064,0,0.0002619523147586733
2019-01-06,q1,0.03554177284240723,3.144877337035723e-05,0.10798989236354828,6.726983701810241e-05,0,0.0001844533544499427
2019-01-07,q1,0.0329989418387413,6.897886487422511e-05,0.10783796012401581,0.00018603178614284843,0,5.8852703659795225e-05
2019-01-08,q1,0,0,0.10680537670850754,0,0,0
2019-01-09,q1,0.05312657356262207,0.0001366141514154151,0.11109814792871475,0,0,0.00031851002131588757
2019-01-10,q1,0.03391312435269356,5.354077075025998e-05,0.11048094928264618,0,0,0.00016890263941604644
2019-01-11,q1,0,0,0.10672467947006226,0,0,0
2019-01-12,q1,0.039167892187833786,0,0.10710692405700684,0,0,0.00014033497427590191
2019-01-13,q1,0.04379701241850853,7.241975981742144e-05,0.10556779056787491,9.987262455979362e-05,0,0.0003964943753089756
2019-01-14,q1,0.049852386116981506,0,0.10320890694856644,0,0,0.00030414044158533216
2019-01-15,q1,0.0478811040520668,0,0.10264918953180313,0.00014935854414943606,0,0
2019-01-16,q1,0.04433446004986763,7.6798525697086e-05,0.10347267985343933,0,0,0.00014445785200223327
2019-01-17,q1,0.036895863711833954,0,0.10285453498363495,0,0,0
2019-01-18,q1,0,8.053501369431615e-05,0.1085565909743309,0.0003793564101215452,0,0.0001745094923535362
2019-01-19,q1,0,0,0.10691896826028824,0.0004906959366053343,0,0.0003482940956018865
2019-01-20,q1,0.04861542582511902,0,0.10853783786296844,0.00014770888083148748,0,0.0003433999081607908
2019-01-21,q1,0.0446728840470314,0.00011137635738123208,0.10900957882404327,0,0,0.0002685910149011761
2019-01-22,q1,0.052922796458005905,8.955567318480462e-05,0.11280575394630432,1.7386792023899034e-05,0,0.0003284560516476631
2019-01-23,q1,0.06258133798837662,0.00011157348490087315,0.11030857264995575,0,0,0.0002618712023831904
2019-01-24,q1,0.05237693339586258,8.85112676769495e-05,0.10944237560033798,0,0,0.00047891002031974494
2019-01-25,q1,0,0.00012790726032108068,0.10700904577970505,0,0,0.00016619625966995955
2019-01-26,q1,0,0,0.10407863557338715,0,0,0.0004185236757621169
2019-01-27,q1,0.055941011756658554,0.00016652677732054144,0.10603064298629761,0,0,0.00042852689512073994
2019-01-28,q1,0,0.00010437948367325589,0.1065831184387207,7.039318006718531e-05,0,0.0004626842855941504
2019-01-29,q1,0.045034781098365784,0,0.10679531842470169,0.0002998308336827904,0,0.00019341275037731975
2019-01-30,q1,0,9.144484647549689e-05,0.108101025223732,0,0,0.00015674946189392358
2019-01-31,q1,0.04099008068442345,0,0.10604281723499298,1.162559783551842e-05,0,0
2019-02-01,q1,0.04486378654837608,0,0.10417365282773972,0,0,0
2019-02-02,q1,0.049091167747974396,0,0.10619013756513596,4.90761776745785e-05,0,8.373660239158198e-05
2019-02-03,q1,0.04934317618608475,0,0.10876738280057907,1.1585437277972233e-05,0,0.0002684500068426132
2019-02-04,q1,0.03949284180998802,0,0.10827550292015076,0,0,0
2019-02-05,q1,0,0,0.10910950601100922,0.0002658524317666888,0,0
2019-02-06,q1,0.037137046456336975,0,0.10792871564626694,0,0,0.000175712353666313
2019-02-07,q1,0.03892350569367409,0,0.10676781088113785,0,0,0.00013046750973444432
2019-02-08,q1,0.035715773701667786,0,0.10763010382652283,0,0,0
2019-02-09,q1,0.034999970346689224,0,0.10584260523319244,0.00019010448886547238,0,5.5897526181070134e-05
2019-02-10,q1,0.03445257246494293,5.072189014754258e-05,0.11000596731901169,0,0,0.00022107100812718272
2019-02-11,q1,0.03503682091832161,5.320061245583929e-05,0.10745002329349518,0,0,0.00021846052550245076
2019-02-12,q1,0.034225430339574814,3.6358989746076986e-05,0.10818247497081757,0,0,0.00021976444986648858
2019-02-13,q1,0,6.738981028320268e-05,0.1100928857922554,0.00022364198230206966,0,0.00024294410832226276
2019-02-14,q1,0.03322620317339897,6.684179970761761e-05,0.11159690469503403,0,0,0.0002187404315918684
2019-02-15,q1,0.03281381353735924,5.992831211187877e-05,0.1124514564871788,0.00015545023779850453,0,3.744056448340416e-05
2019-02-16,q1,0.03339557349681854,9.019346907734871e-05,0.11316034197807312,0,0,0.00014216129784472287
2019-02-17,q1,0.03507760167121887,0,0.11568780988454819,9.171132114715874e-05,0,0.00014960723638068885
2019-02-18,q1,0.03555493801832199,4.8678590246709064e-05,0.11415533721446991,0.00047324367915280163,0,5.889167368877679e-05
2019-02-19,q1,0.0383431576192379,0,0.11396991461515427,1.4189430430633365e-06,0,0.00020744143694173545
2019-02-20,q1,0.03447967395186424,3.8636968383798376e-05,0.11573377251625061,4.6530327381333336e-05,0,0
2019-02-21,q1,0.04152553901076317,0,0.11519651114940643,0,0,0.00019824418995995075
2019-02-22,q1,0.04172958806157112,0,0.11492083221673965,0,0,0.00029092145268805325
2019-02-23,q1,0.04015853628516197,0,0.11773594468832016,0,0,0.0003056679852306843
2019-02-24,q1,0.04558125138282776,6.856197433080524e-05,0.1167575865983963,0,0,0.00033186617656610906
2019-02-25,q1,0.04240664094686508,3.935240602004342e-05,0.1165914237499237,0.00014183908933773637,0,0.00015077143325470388
2019-02-26,q1,0.043595921248197556,0,0.11512790620326996,0,0,0.0001650304184295237
2019-02-27,q1,0.05132890120148659,9.304490231443197e-05,0.11850426346063614,0,0,0.00038949126610532403
